tenure_months,monthly_charges,total_charges,contract_type,support_calls,is_senior_citizen,has_tech_support,churn
6,26.21,159.75,0,3,0,1,1
56,65.83,3571.53,1,3,0,1,1
47,32.9,1390.08,1,0,0,0,0
32,35.23,1126.38,0,1,0,1,0
31,83.23,2236.7,0,1,0,0,1
62,59.29,3693.93,0,1,0,0,0
6,112.19,651.6,1,2,0,1,1
50,51.92,2264.1,1,0,1,1,0
14,92.62,1122.8,1,3,0,1,1
6,66.11,396.73,0,1,0,0,1
38,86.0,2969.26,0,2,0,1,0
71,79.97,5836.06,0,2,0,0,0
53,67.28,3574.45,0,1,0,1,0
55,115.01,6260.0,1,0,0,1,0
52,54.27,2555.98,0,0,1,1,0
57,37.72,2132.39,0,1,0,1,0
37,87.81,3377.73,0,4,0,1,1
9,104.6,817.43,0,0,0,0,1
61,24.03,1341.58,1,2,0,1,0
32,64.96,1864.48,0,1,0,1,0
36,109.25,3652.38,2,1,0,0,0
27,94.96,2559.99,2,1,0,0,0
13,119.18,1463.89,2,1,0,0,1
67,73.14,4724.68,1,0,0,1,0
57,86.0,4474.7,1,2,0,1,1
47,50.25,2074.23,1,2,0,1,1
29,114.75,3006.25,0,0,1,0,1
60,56.63,3472.33,0,1,0,0,0
39,93.85,3552.11,1,2,0,1,1
32,60.31,1786.33,0,3,1,0,1
32,76.18,2457.22,0,0,0,0,1
16,91.98,1269.9,2,1,0,0,0
6,70.89,383.14,0,2,0,0,1
40,110.71,3967.94,0,1,0,0,0
64,61.93,4150.09,1,4,0,1,1
4,84.71,335.86,0,3,0,0,1
62,54.24,3273.96,2,0,0,0,0
60,60.82,3105.46,0,1,0,1,0
20,64.01,1135.36,2,4,0,1,0
46,32.58,1464.37,1,1,1,1,0
12,29.17,324.12,0,1,0,1,0
55,86.75,4937.56,0,1,0,1,0
51,85.55,4375.9,0,1,0,1,1
25,86.29,2026.69,0,1,0,1,0
4,21.98,87.91,0,2,0,0,1
70,52.65,3851.65,2,0,0,1,0
32,39.78,1199.38,0,3,0,0,0
65,97.82,6221.63,2,3,1,0,0
49,106.06,5372.25,0,1,0,0,0
56,44.67,2250.7,2,1,1,0,0
55,86.78,4903.26,0,4,0,0,1
14,32.94,400.98,0,2,0,1,1
26,47.52,1210.43,1,2,1,0,1
34,33.87,1159.14,0,1,1,0,0
36,48.35,1693.47,2,1,0,0,0
3,87.47,249.06,0,1,0,0,1
39,111.03,4215.29,0,0,1,1,0
11,40.25,389.77,0,3,0,0,1
54,74.21,3579.01,1,2,0,0,1
49,90.14,3992.75,0,3,0,0,1
67,115.29,7489.27,0,5,0,0,0
54,81.01,4104.98,0,1,0,0,1
26,45.51,1063.63,0,0,0,0,1
70,82.55,5931.99,0,2,0,1,1
29,52.05,1395.92,2,3,0,1,0
23,117.61,2540.58,0,0,0,1,1
66,59.97,3688.64,1,1,0,0,0
27,88.54,2118.98,0,2,0,0,1
5,22.32,111.19,0,2,0,1,1
34,60.01,1917.29,0,0,0,0,1
